gender,age,survived,class,embarked,country,,,,,,,,,,,,,,,,,
Male,42,No,3,S,USA,,,,,,,,,,,,,,,,,
Male,13,No,3,S,USA,,,,,,,,,,,,,,,,,
Male,16,No,3,S,USA,,,,,,,,,,,,,,,,,
Female,39,Yes,3,S,ENG,,,,,,,,,,,,,,,,,
Female,16,Yes,3,S,EUR,,,,,,,,,,,,,,,,,
Male,25,Yes,3,S,USA,,,,,,,,,,,,,,,,,
Male,30,No,2,C,EUR,,,,,,,,,,,,,,,,,
Female,28,Yes,2,C,EUR,,,,,,,,,,,,,,,,,
Male,27,Yes,3,C,LBN,,,,,,,,,,,,,,,,,
Male,20,Yes,3,S,FIN,,,,,,,,,,,,,,,,,
Male,30,No,3,S,SWE,,,,,,,,,,,,,,,,,
Male,27,No,3,S,ENG,,,,,,,,,,,,,,,,,
Female,40,No,3,S,SWE,,,,,,,,,,,,,,,,,
Male,0.833333333,Yes,3,S,ENG,,,,,,,,,,,,,,,,,
Female,18,Yes,3,S,ENG,,,,,,,,,,,,,,,,,
Male,35,No,2,S,ENG,,,,,,,,,,,,,,,,,
Male,25,No,3,S,ENG,,,,,,,,,,,,,,,,,
Male,19,No,3,S,FIN,,,,,,,,,,,,,,,,,
Male,24,No,3,S,SAM,,,,,,,,,,,,,,,,,
Male,25,No,3,S,SAM,,,,,,,,,,,,,,,,,
Female,29,Yes,1,S,USA,,,,,,,,,,,,,,,,,
Male,39,No,3,S,ENG,,,,,,,,,,,,,,,,,
Male,0.916666667,Yes,1,S,NAM,,,,,,,,,,,,,,,,,
Female,2,No,1,S,NAM,,,,,,,,,,,,,,,,,
Male,30,No,1,S,NAM,,,,,,,,,,,,,,,,,
Female,25,No,1,S,USA,,,,,,,,,,,,,,,,,
Male,18,No,3,S,ENG,,,,,,,,,,,,,,,,,
Male,19,No,3,C,LBN,,,,,,,,,,,,,,,,,
Female,19,Yes,3,S,EUR,,,,,,,,,,,,,,,,,
Male,33,No,3,S,EUR,,,,,,,,,,,,,,,,,
Male,47,Yes,1,S,USA,,,,,,,,,,,,,,,,,
Male,4,No,3,S,SWE,,,,,,,,,,,,,,,,,
Female,6,No,3,S,SWE,,,,,,,,,,,,,,,,,
Female,2,No,3,S,SWE,,,,,,,,,,,,,,,,,
Female,16,Yes,3,S,FIN,,,,,,,,,,,,,,,,,
Female,38,No,3,S,SWE,,,,,,,,,,,,,,,,,
Female,9,No,3,S,SWE,,,,,,,,,,,,,,,,,
Female,11,No,3,S,SWE,,,,,,,,,,,,,,,,,
Male,39,No,3,S,SWE,,,,,,,,,,,,,,,,,
Male,26,No,3,S,SWE,,,,,,,,,,,,,,,,,
Female,39,No,3,S,SWE,,,,,,,,,,,,,,,,,
Male,20,No,3,S,SWE,,,,,,,,,,,,,,,,,
Male,17,No,2,S,SAM,,,,,,,,,,,,,,,,,
Male,27,No,2,S,ENG,,,,,,,,,,,,,,,,,
Female,62,Yes,1,C,USA,,,,,,,,,,,,,,,,,
Male,39,No,1,B,EUR,,,,,,,,,,,,,,,,,
Male,26,No,3,S,EUR,,,,,,,,,,,,,,,,,
Female,36,Yes,2,S,ENG,,,,,,,,,,,,,,,,,
Male,31,No,2,S,ENG,,,,,,,,,,,,,,,,,
Female,53,Yes,1,S,USA,,,,,,,,,,,,,,,,,
Male,25,No,3,S,EUR,,,,,,,,,,,,,,,,,
Female,18,No,3,S,EUR,,,,,,,,,,,,,,,,,
Male,25,No,3,S,SWE,,,,,,,,,,,,,,,,,
